"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-6795-3p",11.3031116094453,14.3589257186147,9.45318713398656,3.94960342653519e-18,6.33426964633002e-17,29.3038744295447
"hsa-miR-4638-3p",9.15305374422789,11.9608333463203,9.44334603207086,4.22636186789586e-18,6.73576422695902e-17,29.241934227564
"hsa-miR-6719-3p",9.21148504827586,10.4873152034632,9.43799470473039,4.38485641489088e-18,6.90890558471991e-17,29.2082635593838
"hsa-miR-6731-3p",14.0529656871064,12.0869388138528,9.43785119858162,4.38918707735147e-18,6.90890558471991e-17,29.2073607200244
"hsa-miR-5591-3p",10.8562808084708,9.77833206493506,9.43266828684841,4.54847551631788e-18,7.11571323104945e-17,29.1747571598212
"hsa-miR-518d-3p",8.83895836754123,13.6795274935065,9.42397722836144,4.82857186276823e-18,7.50784039637742e-17,29.1201013074284
"hsa-miR-1296-3p",11.6495647874063,12.3153065627706,9.41196142455658,5.24424656254774e-18,8.10474468757378e-17,29.0445701051195
"hsa-miR-377-5p",9.42673560052474,12.2000293290043,9.40822047638563,5.38077733011401e-18,8.2656519227655e-17,29.0210624157568
"hsa-miR-6727-3p",18.3803021517991,16.2423046709957,9.40459850516597,5.51632894034253e-18,8.42313700471464e-17,28.9983059300971
"hsa-miR-8084",11.2475394507496,10.7010847619048,9.40226563078797,5.60542696855092e-18,8.50823736297908e-17,28.9836505714159
"hsa-miR-3907",9.66875006371814,12.1470896709957,9.39043911904667,6.07958289923628e-18,9.16246897606033e-17,28.9093776529958
"hsa-miR-3139",10.3643323175412,10.7685199437229,9.38975228353846,6.10831265070689e-18,9.16246897606033e-17,28.9050653393533
"hsa-miR-1295a",10.2932462461769,11.4922163203463,9.38761878472279,6.19841805623548e-18,9.21859934717902e-17,28.8916709237518
"hsa-miR-548w",9.82835542496252,11.4343919134199,9.38715836888812,6.21803563809722e-18,9.21859934717902e-17,28.8887805269003
"hsa-miR-7109-3p",16.4739472538981,18.0759710692641,9.38510378163626,6.30633275223901e-18,9.29546157121934e-17,28.8758829419997
"hsa-miR-548at-5p",10.5690714389805,9.46666857575758,9.37334718025897,6.83606745008387e-18,9.97180745754217e-17,28.8021032572143
"hsa-miR-219b-3p",9.07604473163418,11.7746286147186,9.37319093577765,6.84339727478384e-18,9.97180745754217e-17,28.8011229811374
"hsa-miR-4781-3p",9.85645507391304,11.0826572813853,9.36813110039663,7.08503422720059e-18,1.02652484541827e-16,28.7693812003958
"hsa-miR-210-5p",20.9996464665667,18.9693648917749,9.35940043662848,7.52206658418244e-18,1.08368755873815e-16,28.7146275735298
