"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-187-5p",87.7343960434783,56.7975445695652,12.1650354689184,1.3450377138658e-26,1.91611517897083e-25,46.8214677485946
"hsa-miR-149-5p",14.8926806173913,11.0407579869565,12.1306106076224,1.73759868451118e-26,2.46159813639083e-25,46.5910786148014
"hsa-miR-1914-5p",18.0952626173913,13.0097748913043,12.1234213315502,1.83302105736141e-26,2.58243298136552e-25,46.5429758048263
"hsa-miR-6785-3p",18.181586026087,14.2452829086957,12.1221818675558,1.84999286393667e-26,2.59087851722588e-25,46.534683069323
"hsa-miR-519a-3p",12.5309473304348,11.5700720913043,12.1210169450732,1.86608687712452e-26,2.59087851722588e-25,46.5268891696591
"hsa-miR-4731-5p",23.7168247391304,16.4800534391304,12.1207714244321,1.86949665556691e-26,2.59087851722588e-25,46.5252465303804
"hsa-miR-1296-3p",14.8416430434783,10.7445396956522,12.1198735321006,1.88201956046976e-26,2.5941350698367e-25,46.5192392826092
"hsa-miR-1321",13.4554175304348,9.91663571304348,12.1098697485352,2.02733250130599e-26,2.77940746146789e-25,46.4523143817672
"hsa-miR-433-3p",13.3603308608696,9.3395070826087,12.0868923325726,2.40488887727657e-26,3.27939392355896e-25,46.2986264570488
"hsa-miR-5095",14.0480902956522,10.9266768521739,12.0784158501881,2.56123427948002e-26,3.47401458120961e-25,46.2419408943675
"hsa-miR-6850-3p",13.9656166521739,13.4721698391304,12.0727156680653,2.67203411327389e-26,3.60512539092509e-25,46.2038248033834
"hsa-miR-4707-3p",44.1859640347826,27.1212003304348,12.0680452998504,2.76637117553461e-26,3.69691534777153e-25,46.1725968566204
"hsa-miR-3152-3p",12.5224675304348,8.99415082608696,12.0679144231823,2.76906208401711e-26,3.69691534777153e-25,46.1717217885023
"hsa-miR-1288-3p",16.9474981304348,11.3829893347826,12.0648588350987,2.83263451593425e-26,3.76209271647518e-25,46.1512918993633
"hsa-miR-103a-3p",15.252968026087,8.26587596956522,12.0593212416072,2.95157912418402e-26,3.89975480138303e-25,46.114269079272
"hsa-miR-378b",13.5113277478261,9.38929170869565,12.0569245844808,3.00459086489073e-26,3.94933335333576e-25,46.0982464698078
"hsa-miR-195-3p",14.1669821478261,11.5773073173913,12.0535262369114,3.08139135252642e-26,4.02196117375995e-25,46.0755279676502
"hsa-miR-4781-5p",13.740108,10.5782449391304,12.0530900460624,3.09138976492922e-26,4.02196117375995e-25,46.0726120301015
"hsa-miR-3121-5p",13.3153581913043,10.7868318347826,12.0513406582216,3.13181567686554e-26,4.05387308426757e-25,46.0609175227134
"hsa-miR-4766-3p",14.0310639043478,7.56813158695652,12.03658463805,3.49448336989708e-26,4.50047100668563e-25,45.9622848508468
"hsa-miR-4287",14.6700990869565,11.1016252565217,12.0330532601967,3.58731496169093e-26,4.59681062930245e-25,45.9386829779643
"hsa-miR-552-3p",13.1742698173913,9.22958473478261,12.0269754618034,3.75288298743699e-26,4.78492580898216e-25,45.8980646044894
"hsa-miR-1266-5p",13.529637973913,9.82816614347826,12.0220061884697,3.89390149607446e-26,4.94002428606462e-25,45.8648568822434
"hsa-miR-4665-3p",17.4673719043478,14.2852001869565,12.0205542687714,3.93609336552384e-26,4.96883073370584e-25,45.8551546583869
"hsa-miR-4646-5p",18.9150151391304,11.0358382565217,12.001972084583,4.51810715064412e-26,5.67545479514409e-25,45.7309978571619
"hsa-miR-1269a",14.2070365391304,9.3894388,11.992868065417,4.83383576512704e-26,6.04229470640879e-25,45.6701800876745
"hsa-miR-16-2-3p",14.9986574956522,10.3194060347826,11.991405158394,4.88658306909272e-26,6.07843259813973e-25,45.6604080600443
"hsa-miR-181a-5p",13.4907908521739,10.347416,11.9894580874222,4.95767935669071e-26,6.13693318425306e-25,45.6474021651137
"hsa-miR-324-5p",11.5682073304348,9.8396144826087,11.9780141141674,5.39690314191858e-26,6.64835894294318e-25,45.5709661825018
"hsa-miR-4476",44.6222742173913,27.5508848913043,11.96262339374,6.04941005048615e-26,7.4163440522787e-25,45.4681871667306
